ST_NAME,DIST_NAME,AC_NO,CITYNAME,POPULATION,LON_CITY,LAT_CITY
Telangana,Adilabad,7,Adilabad,105556,78.5333333,19.6666667
Telangana,Adilabad,5,Asifabad,18846,79.2833333,19.3666667
Telangana,Adilabad,3,Bellampalle,66671,79.51,19.03
Telangana,Adilabad,10,Bhainsa,39703,77.9666667,19.1
Telangana,Adilabad,1,Kaghaznagar,59344,79.47258,19.35764
Telangana,Adilabad,4,Kyathampalle,41383,79.47,18.87
Telangana,Adilabad,4,Lakshettipet,11497,79.2166667,18.8666667
Telangana,Adilabad,4,Mancherial,68237,79.42991,18.85357
Telangana,Adilabad,2,Mandamarri,66172,79.45,18.93
Telangana,Karimnagar,23,Naspur,14376,79.45,18.8333333
Telangana,Adilabad,9,Nirmal,72204,78.34,19.09
Telangana,Adilabad,1,Sirpur,10791,79.66,19.46
Andhra Pradesh,Anantapur,272,Anantapur,215849,77.6,14.6833333
Andhra Pradesh,Anantapur,279,Dharmavaram,100649,77.7166667,14.4333333
Andhra Pradesh,Anantapur,269,Gooty,42794,77.6333333,15.1166667
Andhra Pradesh,Anantapur,269,Guntakal,114459,77.3833333,15.1666667
Andhra Pradesh,Anantapur,276,Hindupur,122848,77.4933333,13.8288889
Andhra Pradesh,Anantapur,280,Kadiri,74862,78.1666667,14.1166667
Andhra Pradesh,Anantapur,273,Kalyandurg,28587,77.11,14.54
Andhra Pradesh,Anantapur,277,Penukonda,21570,77.5833333,14.0833333
Andhra Pradesh,Anantapur,267,Rayadurg,52624,76.85,14.68
Andhra Pradesh,Anantapur,270,Tadpatri,84941,78.0166667,14.9166667
Andhra Pradesh,Anantapur,268,Uravakonda,31419,77.2666667,14.95
Andhra Pradesh,Chittoor,291,Chittoor,150893,79.1166667,13.2
Andhra Pradesh,Chittoor,294,Kuppam,18517,78.36,12.76
Andhra Pradesh,Chittoor,283,Madanapalle,95230,78.5,13.55
Andhra Pradesh,Chittoor,289,Nagari,23950,79.6,13.34
