YEAR,ST_NAME,AC_NO,STATE
2018,Karnataka,171,Karnataka
2018,Karnataka,172,Karnataka
2018,Karnataka,174,Karnataka
1991,Uttar Pradesh,381,Uttar Pradesh
1991,Uttar Pradesh,382,Uttar Pradesh
1991,Uttar Pradesh,384,Uttar Pradesh
1991,Uttar Pradesh,391,Uttar Pradesh
1991,Uttar Pradesh,392,Uttar Pradesh
1991,Uttar Pradesh,395,Uttar Pradesh
1991,Uttar Pradesh,399,Uttar Pradesh
1996,Assam,50,Assam
1996,Assam,51,Assam
1996,Assam,53,Assam
1996,Assam,95,Assam
1996,Assam,96,Assam
1996,Assam,98,Assam
1996,Assam,102,Assam
1996,Assam,103,Assam
1996,Assam,105,Assam
1996,Assam,122,Assam
1996,Assam,123,Assam
1996,Assam,125,Assam
2008,Delhi,37,Delhi
2008,Delhi,38,Delhi
2008,Delhi,40,Delhi
2008,Meghalaya,35,Meghalaya
2008,Meghalaya,36,Meghalaya
2008,Meghalaya,38,Meghalaya
2007,Uttarakhand,57,Uttarakhand
2007,Uttarakhand,58,Uttarakhand
2007,Uttarakhand,60,Uttarakhand
1993,Rajasthan,75,Rajasthan
1993,Rajasthan,76,Rajasthan
1993,Rajasthan,78,Rajasthan
1993,Uttar Pradesh,231,Uttar Pradesh
1993,Uttar Pradesh,232,Uttar Pradesh
1993,Uttar Pradesh,234,Uttar Pradesh
1993,Uttar Pradesh,277,Uttar Pradesh
1993,Uttar Pradesh,278,Uttar Pradesh
1993,Uttar Pradesh,280,Uttar Pradesh
1993,Uttar Pradesh,392,Uttar Pradesh
1993,Uttar Pradesh,393,Uttar Pradesh
1993,Uttar Pradesh,395,Uttar Pradesh
2004,Arunachal Pradesh,1,Arunachal Pradesh
2004,Arunachal Pradesh,2,Arunachal Pradesh
2004,Arunachal Pradesh,3,Arunachal Pradesh
2004,Arunachal Pradesh,4,Arunachal Pradesh
2004,Arunachal Pradesh,5,Arunachal Pradesh
2004,Arunachal Pradesh,13,Arunachal Pradesh
2004,Arunachal Pradesh,14,Arunachal Pradesh
2004,Arunachal Pradesh,15,Arunachal Pradesh
2004,Arunachal Pradesh,16,Arunachal Pradesh
2004,Sikkim,10,Sikkim
2004,Sikkim,11,Sikkim
2004,Sikkim,12,Sikkim
2004,Sikkim,13,Sikkim
2004,Sikkim,14,Sikkim
2004,Sikkim,15,Sikkim
2004,Sikkim,23,Sikkim
2004,Sikkim,24,Sikkim
2004,Sikkim,25,Sikkim
2004,Sikkim,26,Sikkim
2016,Tamil Nadu,132,Tamil Nadu
2016,Tamil Nadu,133,Tamil Nadu
2016,Tamil Nadu,134,Tamil Nadu
2016,Tamil Nadu,135,Tamil Nadu
2016,Tamil Nadu,172,Tamil Nadu
2016,Tamil Nadu,173,Tamil Nadu
2016,Tamil Nadu,174,Tamil Nadu
2016,Tamil Nadu,175,Tamil Nadu
