STATE_NO,DISTRICT_NO,STATE,DISTRICT_NAME,REGION_TYPE,No_HH,POPULATION
1,1,Jammu & Kashmir,Kupwara,Rural,101930,765625
1,1,Jammu & Kashmir,Kupwara,Urban,11999,104729
1,2,Jammu & Kashmir,Badgam,Rural,89417,655833
1,2,Jammu & Kashmir,Badgam,Urban,13946,97912
1,3,Jammu & Kashmir,Leh(Ladakh),Rural,14905,87816
1,3,Jammu & Kashmir,Leh(Ladakh),Urban,7004,45671
1,4,Jammu & Kashmir,Kargil,Rural,16147,124464
1,4,Jammu & Kashmir,Kargil,Urban,2191,16338
1,5,Jammu & Kashmir,Punch,Rural,83045,438205
1,5,Jammu & Kashmir,Punch,Urban,7216,38630
1,6,Jammu & Kashmir,Rajouri,Rural,122645,590101
1,6,Jammu & Kashmir,Rajouri,Urban,7756,52314
1,7,Jammu & Kashmir,Kathua,Rural,101651,526722
1,7,Jammu & Kashmir,Kathua,Urban,17932,89713
1,8,Jammu & Kashmir,Baramula,Rural,125346,825539
1,8,Jammu & Kashmir,Baramula,Urban,27289,182500
1,9,Jammu & Kashmir,Bandipore,Rural,48794,326871
1,9,Jammu & Kashmir,Bandipore,Urban,9598,65361
1,10,Jammu & Kashmir,Srinagar,Rural,2844,17313
1,10,Jammu & Kashmir,Srinagar,Urban,188834,1219516
1,11,Jammu & Kashmir,Ganderbal,Rural,38395,250407
1,11,Jammu & Kashmir,Ganderbal,Urban,6966,47039
1,12,Jammu & Kashmir,Pulwama,Rural,75587,479978
1,12,Jammu & Kashmir,Pulwama,Urban,10654,80462
1,13,Jammu & Kashmir,Shupiyan,Rural,41858,249855
1,13,Jammu & Kashmir,Shupiyan,Urban,2553,16360
1,14,Jammu & Kashmir,Anantnag,Rural,117648,795805
1,14,Jammu & Kashmir,Anantnag,Urban,35992,282887
1,15,Jammu & Kashmir,Kulgam,Rural,59922,343870
1,15,Jammu & Kashmir,Kulgam,Urban,13806,80613
1,16,Jammu & Kashmir,Doda,Rural,72917,377247
1,16,Jammu & Kashmir,Doda,Urban,6719,32689
1,17,Jammu & Kashmir,Ramban,Rural,53328,271902
1,17,Jammu & Kashmir,Ramban,Urban,2162,11811
1,18,Jammu & Kashmir,Kishtwar,Rural,42499,215831
1,18,Jammu & Kashmir,Kishtwar,Urban,2710,14865
1,19,Jammu & Kashmir,Udhampur,Rural,78887,446777
1,19,Jammu & Kashmir,Udhampur,Urban,20353,108208
1,20,Jammu & Kashmir,Reasi,Rural,51659,287671
1,20,Jammu & Kashmir,Reasi,Urban,5030,26996
1,21,Jammu & Kashmir,Jammu,Rural,159291,764945
1,21,Jammu & Kashmir,Jammu,Urban,154908,765013
1,22,Jammu & Kashmir,Samba,Rural,54718,265283
1,22,Jammu & Kashmir,Samba,Urban,10667,53615
2,23,Himachal Pradesh,Chamba,Rural,94596,482972
2,23,Himachal Pradesh,Chamba,Urban,7864,36108
2,24,Himachal Pradesh,Kangra,Rural,318379,1423794
2,24,Himachal Pradesh,Kangra,Urban,20508,86281
2,25,Himachal Pradesh,Lahul & Spiti,Rural,6674,31564
2,25,Himachal Pradesh,Lahul & Spiti,Urban,0,0
2,26,Himachal Pradesh,Kullu,Rural,84358,396512
2,26,Himachal Pradesh,Kullu,Urban,10449,41391
2,27,Himachal Pradesh,Mandi,Rural,203747,937140
2,27,Himachal Pradesh,Mandi,Urban,15398,62637
2,28,Himachal Pradesh,Hamirpur,Rural,98115,423338
2,28,Himachal Pradesh,Hamirpur,Urban,7404,31430
2,29,Himachal Pradesh,Una,Rural,100502,476260
2,29,Himachal Pradesh,Una,Urban,9830,44913
2,30,Himachal Pradesh,Bilaspur,Rural,74712,356827
2,30,Himachal Pradesh,Bilaspur,Urban,5773,25129
2,31,Himachal Pradesh,Solan,Rural,96510,478173
2,31,Himachal Pradesh,Solan,Urban,25915,102147
2,32,Himachal Pradesh,Sirmaur,Rural,85087,472690
2,32,Himachal Pradesh,Sirmaur,Urban,13121,57165
2,33,Himachal Pradesh,Shimla,Rural,129854,612659
2,33,Himachal Pradesh,Shimla,Urban,54508,201351
2,34,Himachal Pradesh,Kinnaur,Rural,19976,84121
2,34,Himachal Pradesh,Kinnaur,Urban,0,0
3,35,Punjab,Gurdaspur,Rural,312300,1639004
3,35,Punjab,Gurdaspur,Urban,131366,659319
3,36,Punjab,Kapurthala,Rural,107710,532706
3,36,Punjab,Kapurthala,Urban,60279,282462
3,37,Punjab,Jalandhar,Rural,213682,1032419
3,37,Punjab,Jalandhar,Urban,247953,1161171
3,38,Punjab,Hoshiarpur,Rural,264831,1251656
3,38,Punjab,Hoshiarpur,Urban,72163,334969
3,39,Punjab,Shahid Bhagat Singh Nagar,Rural,102766,486894
3,39,Punjab,Shahid Bhagat Singh Nagar,Urban,26734,125416
3,40,Punjab,Fatehgarh Sahib,Rural,78997,414681
3,40,Punjab,Fatehgarh Sahib,Urban,39103,185482
3,41,Punjab,Ludhiana,Rural,280796,1429031
3,41,Punjab,Ludhiana,Urban,436030,2069708
3,42,Punjab,Moga,Rural,147298,768500
3,42,Punjab,Moga,Urban,45958,227246
3,43,Punjab,Firozpur,Rural,276967,1476518
3,43,Punjab,Firozpur,Urban,109027,552556
3,44,Punjab,Muktsar,Rural,124124,649705
3,44,Punjab,Muktsar,Urban,50236,252191
3,45,Punjab,Faridkot,Rural,76728,400457
3,45,Punjab,Faridkot,Urban,44165,217051
3,46,Punjab,Bathinda,Rural,171292,889308
3,46,Punjab,Bathinda,Urban,102610,499217
3,47,Punjab,Mansa,Rural,117232,606147
3,47,Punjab,Mansa,Urban,32398,163604
3,48,Punjab,Patiala,Rural,214257,1132406
3,48,Punjab,Patiala,Urban,158036,763280
3,49,Punjab,Amritsar,Rural,214993,1156045
3,49,Punjab,Amritsar,Urban,273905,1334611
3,50,Punjab,Tarn Taran,Rural,176669,977832
3,50,Punjab,Tarn Taran,Urban,26752,141795
3,51,Punjab,Rupnagar,Rural,97827,506820
3,51,Punjab,Rupnagar,Urban,37808,177807
3,52,Punjab,Sahibzada Ajit Singh Nagar,Rural,85123,450017
3,52,Punjab,Sahibzada Ajit Singh Nagar,Urban,120288,544611
3,53,Punjab,Sangrur,Rural,217864,1139204
3,53,Punjab,Sangrur,Urban,101006,515965
3,54,Punjab,Barnala,Rural,76657,404842
3,54,Punjab,Barnala,Urban,39141,190685
4,55,Chandigarh,Chandigarh,Rural,7140,28991
4,55,Chandigarh,Chandigarh,Urban,234033,1026459
5,56,Uttarakhand,Uttarkashi,Rural,61914,305781
5,56,Uttarakhand,Uttarkashi,Urban,5688,24305
5,57,Uttarakhand,Chamoli,Rural,74318,332209
5,57,Uttarakhand,Chamoli,Urban,14646,59396
5,58,Uttarakhand,Rudraprayag,Rural,50882,232360
5,58,Uttarakhand,Rudraprayag,Urban,2660,9925
5,59,Uttarakhand,Tehri Garhwal,Rural,115691,548792
5,59,Uttarakhand,Tehri Garhwal,Urban,17023,70139
