STATE,DISTRICT_NAME,AC_NO,NEW_REGION_TYPE
Punjab,Firozpur,76,Urban
Andhra Pradesh,Sri Potti Sriramulu Nellore,242,Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,241,Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,240,Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,239,Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,238,Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,237,Urban
Andhra Pradesh,Sri Potti Sriramulu Nellore,236,Urban
Andhra Pradesh,Sri Potti Sriramulu Nellore,235,Urban
Andhra Pradesh,Sri Potti Sriramulu Nellore,234,Rural
Andhra Pradesh,Sri Potti Sriramulu Nellore,233,Urban
Andhra Pradesh,Prakasam,232,Rural
Andhra Pradesh,Prakasam,231,Rural
Andhra Pradesh,Prakasam,230,Rural
Andhra Pradesh,Prakasam,229,Rural
Andhra Pradesh,Prakasam,228,Rural
Andhra Pradesh,Prakasam,227,Urban
Andhra Pradesh,Prakasam,226,Urban
Andhra Pradesh,Prakasam,225,Urban
Andhra Pradesh,Prakasam,224,Rural
Andhra Pradesh,Prakasam,223,Rural
Andhra Pradesh,Prakasam,222,Rural
Andhra Pradesh,Prakasam,221,Rural
Andhra Pradesh,West Godavari,187,Rural
Andhra Pradesh,West Godavari,186,Rural
Andhra Pradesh,West Godavari,185,Rural
Andhra Pradesh,West Godavari,184,Urban
Andhra Pradesh,West Godavari,183,Rural
Andhra Pradesh,West Godavari,182,Rural
Andhra Pradesh,West Godavari,181,Urban
Andhra Pradesh,West Godavari,180,Urban
Andhra Pradesh,West Godavari,179,Rural
Andhra Pradesh,West Godavari,178,Urban
Andhra Pradesh,West Godavari,177,Urban
Andhra Pradesh,West Godavari,176,Urban
Andhra Pradesh,West Godavari,175,Urban
Andhra Pradesh,West Godavari,174,Urban
Andhra Pradesh,West Godavari,173,Urban
Andhra Pradesh,East Godavari,172,Rural
Andhra Pradesh,East Godavari,171,Rural
Andhra Pradesh,East Godavari,170,Urban
Andhra Pradesh,East Godavari,169,Urban
Andhra Pradesh,East Godavari,168,Rural
Andhra Pradesh,East Godavari,167,Urban
Andhra Pradesh,East Godavari,166,Urban
Andhra Pradesh,East Godavari,165,Urban
Andhra Pradesh,East Godavari,164,Urban
Andhra Pradesh,East Godavari,163,Urban
