STATE,DISTRICT_NAME,DIST11,AC_NO,TOWN_POP,ELECTORS,POPULATION,REGION_TYPE,DIFF_POP_ELEC
Madhya Pradesh,Jhabua,464,193,"29,672.0","171,887.0","91,983",Urban,0.574
Madhya Pradesh,Jhabua,464,194,"12,429.0","147,705.0","91,983",Urban,0.574
Madhya Pradesh,Jhabua,464,195,"22,702.0","161,892.0","933,065",Rural,-0.574
Bihar,Sheohar,205,22,"20,410.0","230,836.0","28,116",Urban,0.495
Bihar,Sheohar,205,30,"17,374.0","198,429.0","628,130",Rural,-0.495
Chhattisgarh,Dhamtari,412,56,0.0,"155,190.0","650,586",Rural,-0.492
Chhattisgarh,Dhamtari,412,57,"11,671.0","156,102.0","149,195",Urban,0.492
Chhattisgarh,Dhamtari,412,58,"80,725.0","172,224.0","149,195",Urban,0.492
Maharashtra,Bhandara,506,60,"46,933.0","257,121.0","233,831",Urban,0.477
Maharashtra,Bhandara,506,61,"105,939.0","304,236.0","233,831",Urban,0.477
Maharashtra,Bhandara,506,62,0.0,"274,830.0","966,503",Rural,-0.477
Madhya Pradesh,Singrauli,463,80,"27,524.0","127,554.0","226,786",Urban,0.474
Madhya Pradesh,Singrauli,463,81,"180,926.0","138,034.0","226,786",Urban,0.474
Rajasthan,Sawai Madhopur,108,91,0.0,"173,086.0","1,069,084",Rural,-0.473
Rajasthan,Sawai Madhopur,108,92,0.0,"181,480.0","266,467",Urban,0.473
Rajasthan,Sawai Madhopur,108,93,"95,046.0","174,473.0","266,467",Urban,0.473
Uttar Pradesh,Mirzapur,199,395,0.0,"312,044.0","2,149,403",Rural,-0.467
Uttar Pradesh,Mirzapur,199,399,"22,635.0","318,993.0","2,149,403",Rural,-0.467
Jharkhand,Palamu,358,76,"69,519.0","267,909.0","226,003",Urban,0.433
Jharkhand,Palamu,358,78,0.0,"223,682.0","226,003",Urban,0.433
Uttar Pradesh,Chitrakoot,171,236,"47,628.0","301,262.0","96,332",Urban,0.424
Uttar Pradesh,Chitrakoot,171,237,"12,408.0","276,314.0","895,398",Rural,-0.424
Punjab,Rupnagar,51,49,"53,149.0","171,869.0","177,807",Urban,0.4
Punjab,Rupnagar,51,50,"47,036.0","149,952.0","177,807",Urban,0.4
Karnataka,Udupi,569,119,"78,530.0","158,643.0","334,061",Urban,0.379
Karnataka,Udupi,569,120,"120,539.0","158,773.0","334,061",Urban,0.379
Karnataka,Udupi,569,121,"5,900.0","138,057.0","334,061",Urban,0.379
Karnataka,Udupi,569,201,"40,650.0","153,024.0","334,061",Urban,0.379
Kerala,Thrissur,594,61,0.0,"173,746.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,62,"56,936.0","174,161.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,64,0.0,"189,976.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,65,0.0,"178,019.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,66,"16,974.0","176,875.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,68,0.0,"179,535.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,70,"40,929.0","174,216.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,71,"14,885.0","176,055.0","1,024,794",Rural,0.379
Kerala,Thrissur,594,72,"48,030.0","172,679.0","1,024,794",Rural,0.379
Andhra Pradesh,West Godavari,546,173,"38,867.0","158,958.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,174,"72,921.0","173,086.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,175,"85,861.0","142,388.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,176,0.0,"150,662.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,177,0.0,"132,956.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,178,"135,634.0","194,488.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,179,"37,265.0","183,759.0","3,128,189",Rural,-0.369
Andhra Pradesh,West Godavari,546,180,"66,381.0","197,141.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,181,"100,873.0","171,744.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,182,0.0,"172,361.0","3,128,189",Rural,-0.369
Andhra Pradesh,West Godavari,546,183,0.0,"178,893.0","3,128,189",Rural,-0.369
Andhra Pradesh,West Godavari,546,184,"191,963.0","171,341.0","808,777",Urban,0.369
Andhra Pradesh,West Godavari,546,185,0.0,"190,448.0","3,128,189",Rural,-0.369
Andhra Pradesh,West Godavari,546,186,0.0,"166,300.0","3,128,189",Rural,-0.369
Andhra Pradesh,West Godavari,546,187,0.0,"212,001.0","3,128,189",Rural,-0.369
Rajasthan,Rajsamand,123,175,"54,275.0","167,049.0","183,820",Urban,0.365
Rajasthan,Rajsamand,123,176,"36,079.0","183,578.0","183,820",Urban,0.365
Madhya Pradesh,Harda,448,135,"77,208.0","155,367.0","119,364",Urban,0.35
Gujarat,Jamnagar,477,76,"47,308.0","194,894.0","1,189,054",Rural,-0.341
Gujarat,Jamnagar,477,77,"17,255.0","186,173.0","971,065",Urban,0.341
Gujarat,Jamnagar,477,78,"454,082.0","182,733.0","971,065",Urban,0.341
Gujarat,Jamnagar,477,79,0.0,"184,141.0","971,065",Urban,0.341
Gujarat,Jamnagar,477,80,"65,705.0","180,661.0","971,065",Urban,0.341
Jharkhand,Pakur,353,4,0.0,"153,589.0","832,910",Rural,-0.34
Jharkhand,Pakur,353,6,0.0,"174,460.0","832,910",Rural,-0.34
Tamil Nadu,Thoothukkudi,627,213,"50,051.0","175,367.0","873,374",Rural,-0.34
Andhra Pradesh,East Godavari,545,154,"49,546.0","179,952.0","3,840,324",Rural,-0.336
Andhra Pradesh,East Godavari,545,155,0.0,"176,992.0","3,840,324",Rural,-0.336
Andhra Pradesh,East Godavari,545,156,"49,639.0","190,919.0","1,313,972",Urban,0.336
Andhra Pradesh,East Godavari,545,157,"282,650.0","185,638.0","1,313,972",Urban,0.336
Andhra Pradesh,East Godavari,545,158,"97,849.0","180,281.0","1,313,972",Urban,0.336
