state,dist_name,region_type,prop_schedback,total_income,stgov_alliance,alliancematch2,perc_marg,new_plants_within_300k,hh_count,hh_count2019,hh_min,hh14plus19,mean_expec_hrs,median_power_hrs,median_power_hrs2019,improvemed1419,med14is24,one
Andhra Pradesh,Anantapur,Rural,43.1,44.5,INC-UPA,1,4.63,1,116,141,116,257,14.03085056734995,18,24,6,0,1
Andhra Pradesh,Anantapur,Urban,55.56,43.5,INC-UPA,1,6.69,1,315,299,299,614,17.15879719224441,21,24,3,0,1
Andhra Pradesh,Chittoor,Rural,83.50999999999999,41.1,INC-UPA,1,6.819999999999999,1,188,220,188,408,20.4555938319941,18,24,6,0,1
Andhra Pradesh,East Godavari,Rural,80.56,35.8,INC-UPA,1,3.85,1,180,229,180,409,20.16806843765904,20,24,4,0,1
Andhra Pradesh,East Godavari,Urban,49.11,38,INC-UPA,0,2.31,1,674,590,590,1264,20.24535417910262,22,24,2,0,1
Andhra Pradesh,Guntur,Rural,44.24,33.5,INC-UPA,1,4.29,1,165,164,164,329,20.74425564354101,21,24,3,0,1
Andhra Pradesh,Guntur,Urban,29.94,46,INC-UPA,1,4.41,1,324,310,310,634,21.2017925001364,23,24,1,0,1
Andhra Pradesh,Krishna,Rural,70.11,36.5,INC-UPA,0,3.37,1,174,159,159,333,21.23553479905147,20,24,4,0,1
Andhra Pradesh,Krishna,Urban,47.78,38.6,INC-UPA,0,3.04,1,450,442,442,892,20.21352266351869,22,24,2,0,1
Andhra Pradesh,Kurnool,Rural,88.27000000000001,41.8,INC-UPA,1,4.09,1,196,211,196,407,17.44024939555691,16,24,8,0,1
Andhra Pradesh,Kurnool,Urban,58.43000000000001,41.8,INC-UPA,1,9.550000000000001,1,664,594,594,1258,14.60846248384446,20,24,4,0,1
Andhra Pradesh,Prakasam,Rural,40.77,38.5,INC-UPA,1,5.1,1,130,196,130,326,20.39432344809857,21,24,3,0,1
Andhra Pradesh,Prakasam,Urban,49.26,44,INC-UPA,1,8.699999999999999,1,337,305,305,642,21.36287045976919,22,24,2,0,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,Rural,70,36,INC-UPA,0,6.97,1,200,223,200,423,19.70924403013617,21,24,3,0,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,Urban,55.69,40,INC-UPA,0,3.46,1,677,546,546,1223,20.72115571926927,22,24,2,0,1
Andhra Pradesh,Srikakulam,Rural,26.88,39.5,INC-UPA,1,11.38,1,93,91,91,184,17.5922037917896,18,24,6,0,1
Andhra Pradesh,Visakhapatnam,Rural,74.15000000000001,34,INC-UPA,0,.8999999999999999,1,294,80,80,374,19.61288728496989,18,24,6,0,1
Andhra Pradesh,Visakhapatnam,Urban,49.81,47.75,INC-UPA,0,3.58,1,1048,898,898,1946,19.38030840806042,23,24,1,0,1
Andhra Pradesh,Vizianagaram,Rural,84.25,32,INC-UPA,1,2.27,1,127,128,127,255,20.54118030722557,19,24,5,0,1
Andhra Pradesh,Vizianagaram,Urban,62.88,43,INC-UPA,0,2.37,1,326,298,298,624,19.90392248448326,24,24,0,1,1
Andhra Pradesh,West Godavari,Rural,67.12,34,INC-UPA,0,6.63,1,146,152,146,298,21.45058576233082,20,24,4,0,1
Andhra Pradesh,West Godavari,Urban,52.01,42.8,INC-UPA,1,10.9,1,323,280,280,603,20.30771542515326,24,24,0,1,1
Andhra Pradesh,Y.S.R.,Rural,20,48,INC-UPA,1,8.92,1,15,117,15,132,19.34430640187419,16,24,8,0,1
Assam,Cachar,Rural,62.5,25.8,INC-UPA,1,22.87,0,80,58,58,138,22.15220995523406,24,24,0,1,1
Assam,Cachar,Urban,34.15000000000001,42.5,INC-UPA,1,12.4,0,246,234,234,480,19.84747450865746,24,24,0,1,1
Assam,Dibrugarh,Rural,88.64,34,INC-UPA,1,20.69,0,44,47,44,91,16.25955527142569,24,24,0,1,1
Assam,Goalpara,Rural,71.43000000000001,27.7,INC-UPA,0,7.340000000000001,0,42,29,29,71,24,24,24,0,1,1
Assam,Hailakandi,Rural,100,15,INC-UPA,1,14.15,0,18,14,14,32,24,0,0,0,0,1
Assam,Jorhat,Urban,39.6,47.5,INC-UPA,1,28.79,0,250,216,216,466,17.82712841541858,24,24,0,1,1
Assam,Kamrup Metropolitan,Urban,37.25,61,INC-UPA,1,3.63,0,357,283,283,640,23.89585963166338,24,24,0,1,1
Assam,Karimganj,Rural,58.33000000000001,32.5,INC-UPA,1,15.69,0,24,16,16,40,23.81978364853852,24,24,0,1,1
Assam,Morigaon,Rural,26.32,32,INC-UPA,1,24.06,0,19,25,19,44,22.30832186725741,24,24,0,1,1
Assam,Nagaon,Rural,79.66,38,INC-UPA,0,12.5,0,59,60,59,119,19.89806773997645,24,24,0,1,1
Assam,Sivasagar,Rural,79.17,29.8,INC-UPA,1,18.49,0,48,46,46,94,23.96252221620681,24,24,0,1,1
Assam,Sonitpur,Rural,65.12,32,INC-UPA,1,17.91,0,43,37,37,80,22.12112560525797,24,24,0,1,1
Bihar,Aurangabad,Rural,68.38,33.123,BJP-NDA,0,11.62,1,136,90,90,226,10.00447392467774,4,18,14,0,1
Bihar,Aurangabad,Urban,62.67,61.5,BJP-NDA,0,.58,1,300,303,300,603,12.79159845185979,15,18,3,0,1
Bihar,Banka,Rural,78.95,31,BJP-NDA,0,6.859999999999999,1,19,89,19,108,14.54083253859624,18,20,2,0,1
Bihar,Banka,Urban,74.76000000000001,28,BJP-NDA,0,15.52,1,309,285,285,594,16.97641826199413,18,20,2,0,1
Bihar,Begusarai,Urban,49.83000000000001,25.5,BJP-NDA,1,9.969999999999999,1,301,289,289,590,11.96553603993397,18,20,2,0,1
Bihar,Bhagalpur,Rural,91.06,35,BJP-NDA,0,4.19,1,123,145,123,268,15.69291528621205,14,18,4,0,1
Bihar,Bhagalpur,Urban,74.45,58.1,BJP-NDA,1,9.449999999999999,1,364,272,272,636,18.12420210198669,17,20,3,0,1
Bihar,Bhojpur,Rural,64,47,BJP-NDA,1,6.710000000000001,1,75,25,25,100,17.04193123392123,15,21,6,0,1
Bihar,Bhojpur,Urban,75.7,56.3,BJP-NDA,1,16.69,1,358,248,248,606,14.37183497243438,15,21,6,0,1
Bihar,Buxar,Rural,73.33,61.2,BJP-NDA,0,15.93,1,15,26,15,41,18.10918155820289,15,20,5,0,1
Bihar,Darbhanga,Rural,98.06,29.4,BJP-NDA,1,5.76,1,155,149,149,304,14.41760752302732,12,19,7,0,1
Bihar,Darbhanga,Urban,78.33,54,BJP-NDA,1,23.23,1,406,315,315,721,14.92665243991794,16,20,4,0,1
Bihar,Gaya,Rural,80,20.9,BJP-NDA,0,9.48,1,155,196,155,351,11.13147978219459,16,18,2,0,1
Bihar,Gaya,Urban,91.73999999999999,47.55,BJP-NDA,1,27.55,1,460,326,326,786,16.46241546426543,17,18,1,0,1
Bihar,Gopalganj,Rural,57.89,20.5,BJP-NDA,1,15.41,0,114,116,114,230,14.31072491892053,16,20,4,0,1
Bihar,Gopalganj,Urban,44.67,46,BJP-NDA,0,19.1,1,300,258,258,558,14.80895102833759,19,21,2,0,1
Bihar,Kaimur (Bhabua),Rural,92.16,34.7,BJP-NDA,1,2.42,1,51,30,30,81,10.23975098970736,15,18,3,0,1
Bihar,Katihar,Rural,65.66,18.18,BJP-NDA,1,9.31,1,198,144,144,342,12.94469789789859,2,19,17,0,1
Bihar,Kishanganj,Rural,9.779999999999999,17.725,BJP-NDA,0,3.38,0,92,9,9,101,16.49682476147783,9,20,11,0,1
Bihar,Madhepura,Rural,96.67,19.8,BJP-NDA,0,10.46,1,30,30,30,60,15.4286,0,20,20,0,1
Bihar,Madhepura,Urban,78.32000000000001,44,BJP-NDA,1,7.79,1,286,204,204,490,13.52883362818831,18,20,2,0,1
Bihar,Muzaffarpur,Rural,68.78999999999999,24,BJP-NDA,0,10.68,1,157,175,157,332,9.254899999999999,10,18,8,0,1
Bihar,Muzaffarpur,Urban,76.81,32,BJP-NDA,1,38.13,1,276,252,252,528,12.17424087311481,10,20,10,0,1
Bihar,Nalanda,Rural,78.31,20.8,BJP-NDA,0,17.4,1,83,94,83,177,12.6449,17,20,3,0,1
Bihar,Nalanda,Urban,63.09,32.1,BJP-NDA,0,21.13,1,401,209,209,610,10.5450731895815,16,20,4,0,1
Bihar,Nawada,Rural,64.91,18.6,BJP-NDA,0,5.319999999999999,1,114,104,104,218,12.72794421354642,16,20,4,0,1
Bihar,Pashchim Champaran,Rural,73.38,24,BJP-NDA,0,18.7,0,154,159,154,313,10.56033810300843,9,20,11,0,1
Bihar,Patna,Rural,87.84999999999999,39.4,BJP-NDA,1,7.649999999999999,1,214,194,194,408,15.28568991348371,14,20,6,0,1
Bihar,Patna,Urban,70.56999999999999,71,BJP-NDA,1,46.16,1,564,497,497,1061,11.95351177502535,19,22,3,0,1
